URL,Title,Brand,SKU,Inventory
https://www.batabd.com/collections/casual-shoes/products/hush-puppies-advance-laceup-sneaker,Hush Puppies ADVANCE LACEUP Sneaker,Hush Puppies,8066683,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-flyfoam-casual-sneaker-for-men-2,Weinbrenner FLYFOAM Casual Sneaker for Men,Weinbrenner,8219033,In stock
https://www.batabd.com/collections/casual-shoes/products/hush-puppies-porto-half-moc-for-men-1,Hush Puppies PORTO Half-Moc for Men,Hush Puppies,8064078,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-fly-foam-casual-sneaker-for-juniors-1,Weinbrenner FLY FOAM Casual Sneaker for Juniors,Weinbrenner,4219011,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-flyfoam-casual-sneaker-for-men,Weinbrenner FLYFOAM Casual Sneaker for Men,Weinbrenner,8216033,In stock
https://www.batabd.com/collections/casual-shoes/products/bata-versace-contemporary-moccasin-for-men-1,Bata Contemporary Moccasin for Men,Bata,8544929,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-citizen-lifestyle-sneaker-for-men-1,North Star CITIZEN Lifestyle Sneaker for Men,North Star,8816367,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-pemae-lace-up-lifestyle-sneaker-for-men-1,North Star PEMAE Lace-Up Lifestyle Sneaker for Men,North Star,8209052,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-arce-lifestyle-sneaker-for-men,North Star ARCE Lifestyle Sneaker for Men,North Star,8811642,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-kailas-outdoor-sneaker-for-men-1,Weinbrenner KAILAS Outdoor Sneaker for Men,Weinbrenner,8302808,In stock
https://www.batabd.com/collections/casual-shoes/products/bata-boyce-mens-loafer-1,Bata BOYCE Men's Loafer,Bata,8214445,In stock
https://www.batabd.com/collections/casual-shoes/products/comfit-celyn-ladies-loafer-shoes,Comfit CELYN Ladies' Loafer Shoes,Bata,5518409,In stock
https://www.batabd.com/collections/casual-shoes/products/hush-puppies-taylor-slip-on-shoe-for-men,Hush Puppies TAYLOR Slip-On Shoe for Men,Hush Puppies,8066061,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-mattia-casual-lace-up-sneaker-for-men,North Star MATTIA Casual Lace -Up Sneaker for Men,North Star,8816312,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-mattia-casual-lace-up-sneaker-for-men-1,North Star MATTIA Casual Lace -Up Sneaker for Men,North Star,8811312,In stock
https://www.batabd.com/collections/casual-shoes/products/comfit-celyn-ladies-loafer-shoes-1,Comfit CELYN Ladies' Loafer Shoes,Bata,5516409,In stock
https://www.batabd.com/collections/casual-shoes/products/hush-puppies-taylor-slip-on-shoe-for-men-1,Hush Puppies TAYLOR Slip-On Shoe for Men,Hush Puppies,8064061,In stock
https://www.batabd.com/collections/casual-shoes/products/comfit-celo-ladies-loafer-shoes,Comfit CELO Ladies' Loafer Shoes,Bata,5516402,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-lambert-lifestyle-sneaker-for-men,North Star LAMBERT Lifestyle Sneaker for Men,North Star,8812631,In stock
https://www.batabd.com/collections/casual-shoes/products/comfit-celo-ladies-loafer-shoes-1,Comfit CELO Ladies' Loafer Shoes,Bata,5515402,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-nadal-canvas-slip-on-sneaker-for-men-1,North Star NADAL Canvas Slip-On Sneaker for Men,North Star,8896622,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-valerio-casual-lace-up-sneaker-for-men-1,North Star VALERIO Casual Lace-Up Sneaker for Men,North Star,8816029,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-kaito-outdoor-sneaker-for-men-1,Weinbrenner KAITO Outdoor Sneaker for Men,Weinbrenner,8306811,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-lambert-lifestyle-sneaker-for-men-1,North Star LAMBERT Lifestyle Sneaker for Men,North Star,8811631,In stock
https://www.batabd.com/collections/casual-shoes/products/hush-puppies-briggs-pt-oxford-shoe,Hush Puppies BRIGGS PT OXFORD Shoe,Hush Puppies,8066642,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-kailas-outdoor-sneaker-for-men,Weinbrenner KAILAS Outdoor Sneaker for Men,Weinbrenner,8306808,In stock
https://www.batabd.com/collections/casual-shoes/products/hush-puppies-the-good-sneak-low-top-sneakers-2,Hush Puppies THE GOOD SNEAK Low-Top Sneakers,Hush Puppies,8061636,In stock
https://www.batabd.com/collections/casual-shoes/products/hush-puppies-the-good-sneak-low-top-sneakers-1,Hush Puppies THE GOOD SNEAK Low-Top Sneakers,Hush Puppies,8064636,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-kasen-outdoor-sneaker-for-men,Weinbrenner KASEN Outdoor Sneaker for Men,Weinbrenner,8306810,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-citizen-lifestyle-sneaker-for-men,North Star CITIZEN Lifestyle Sneaker for Men,North Star,8811367,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-baun-casual-lace-up-sneaker-for-men,North Star BAUN Casual Lace -Up Sneaker for Men,North Star,8819313,In stock
